[2024-04-10 21:18:22,267] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:18:23,002] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:23:39,083] INFO in mercadopago_checkout: Intento de compra por parte de 127.0.0.1.
[2024-04-10 21:23:40,626] INFO in mercadopago_checkout: get_preference called and target url 'http://127.0.0.1/approve/sold/ewkt7acL4PKDqOyUD4AOSQ' generated for an intent from 127.0.0.1 to buy the token ewkt7acL4PKDqOyUD4AOSQ
[2024-04-10 21:23:42,706] INFO in mercadopago_checkout: {'additional_info': '', 'auto_return': 'approved', 'back_urls': {'failure': 'https://test-alert.vercel.app/', 'pending': 'https://test-403.vercel.app/', 'success': 'https://test-403.vercel.app/'}, 'binary_mode': False, 'client_id': '615284725080787', 'collector_id': 1757435435, 'coupon_code': None, 'coupon_labels': None, 'date_created': '2024-04-10T20:23:43.466-04:00', 'date_of_expiration': None, 'expiration_date_from': None, 'expiration_date_to': None, 'expires': False, 'external_reference': '', 'id': '1757435435-f2c696c8-da09-40ec-9eb7-3a1d79e0fee5', 'init_point': 'https://www.mercadopago.com.ar/checkout/v1/redirect?pref_id=1757435435-f2c696c8-da09-40ec-9eb7-3a1d79e0fee5', 'internal_metadata': None, 'items': [{'id': '', 'category_id': '', 'currency_id': 'ARS', 'description': '', 'title': 'Link EnfoqueLive', 'quantity': 1, 'unit_price': 1001}], 'marketplace': 'NONE', 'marketplace_fee': 0, 'metadata': {}, 'notification_url': None, 'operation_type': 'regular_payment', 'payer': {'phone': {'area_code': '', 'number': ''}, 'address': {'zip_code': '', 'street_name': '', 'street_number': None}, 'email': '', 'identification': {'number': '', 'type': ''}, 'name': '', 'surname': '', 'date_created': None, 'last_purchase': None}, 'payment_methods': {'default_card_id': None, 'default_payment_method_id': None, 'excluded_payment_methods': [{'id': ''}], 'excluded_payment_types': [{'id': ''}], 'installments': None, 'default_installments': None}, 'processing_modes': None, 'product_id': None, 'redirect_urls': {'failure': '', 'pending': '', 'success': ''}, 'sandbox_init_point': 'https://sandbox.mercadopago.com.ar/checkout/v1/redirect?pref_id=1757435435-f2c696c8-da09-40ec-9eb7-3a1d79e0fee5', 'site_id': 'MLA', 'shipments': {'default_shipping_method': None, 'receiver_address': {'zip_code': '', 'street_name': '', 'street_number': None, 'floor': '', 'apartment': '', 'city_name': None, 'state_name': None, 'country_name': None}}, 'total_amount': None, 'last_updated': None}
[2024-04-10 21:37:37,475] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:37:52,611] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:37:57,704] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:39:15,764] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:50:26,283] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:50:55,963] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:54:53,656] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:54:54,526] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 21:55:39,034] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 22:05:02,290] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 22:05:03,370] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 22:05:55,614] INFO in app: EnfoqueLive v1.0 started.
[2024-04-10 22:06:07,663] INFO in app: EnfoqueLive v1.0 started.
[2024-04-11 16:38:10,359] INFO in app: EnfoqueLive v1.0 started.
[2024-04-11 16:38:11,465] INFO in app: EnfoqueLive v1.0 started.
[2024-04-11 16:41:04,058] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,061] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,065] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,098] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,101] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,103] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,112] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,116] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,121] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,122] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,124] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,126] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,127] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,128] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,129] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,133] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,133] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,134] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,135] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,136] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,142] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,149] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,149] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,157] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,163] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,176] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,181] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,183] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,187] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,198] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,209] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,214] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,217] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,223] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,229] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,230] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,237] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,242] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,244] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,248] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,251] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,258] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,260] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,263] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,266] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,271] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,279] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,295] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,299] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,302] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,303] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,308] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,312] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,314] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,317] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,318] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,324] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,325] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,327] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,331] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,357] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,358] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,364] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,368] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,424] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
[2024-04-11 16:41:04,379] INFO in stream: Incoming connection from '127.0.0.1' with 'None' identity
